Store_ID,Suburb,Street,Postcode,Lat,Lon,Type
504113,Mona Vale NSW,13 Bungan Street,2103,-33.67761,151.30217,Store
504033,Young NSW,11 Zouch St & 32 Edwards St,2594,-34.3105,148.3012,Store
504084,Thornleigh NSW,275-291 Pennant Hills Road,2120,-33.73202,151.0799,Store
504042,Macquarie Fields NSW,61 Victoria Road,2564,-33.98488,150.89215,Store
504087,Guildford NSW,280-290 Woodville Road,2161,-33.84972,150.99684,Store
504041,Glenfield Park NSW,Cnr Tanda Pl & Pinaroo Dr,2650,-35.13725,147.33388,Store
504040,Ambarvale NSW,45 Woodhouse Drive,2560,-34.08618,150.80162,Store
504049,Albion Park Rail NSW,10 Ash Avenue,2527,-34.57014,150.80123,Store
504046,Yass NSW,193 Comur Street,2582,-34.8443,148.91315,Store
504043,Cooma NSW,18 Hilton Street,2630,-36.23077,149.13499,Store
504072,Vincentia NSW,8 Moona Creek Road,2540,-35.0752877,150.6567904,Store
504092,Rydalmere NSW,359-363 Victoria Road,2116,-33.81259,151.04194,Store
504081,Mt Kuring-gai NSW,Cnr Nyarra Rd & Pacific Hwy,2080,-33.65621,151.13409,Store
504050,Belconnen ACT,Westfield Shoppingtown,2617,-35.23885,149.06619,Store
504053,Miranda NSW,14-16 Wandella Road,2228,-34.03252,151.09926,Store
504047,Tahmoor NSW,153-159 Remembrance Drwy,2573,-34.22552,150.59198,Store
504054,Waterloo NSW,20a Danks Street,2017,-33.89798,151.21241,Store
504057,Warrawong NSW,45 Cowper Street,2502,-34.48542,150.88748,Store
504093,Eastwood NSW,62-80 Rowe Street,2122,-33.79087,151.08466,Store
504052,Engadine NSW,"Shop 15, 101 Caldarra Ave",2233,-34.0655652,151.0140834,Store
504145,Wolli Creek NSW,4 Magdalene Terrace,2205,-33.93026943,151.1524008,Store
504055,Kogarah NSW,G1 Kogarah TC 1 Railway Pde,2217,-33.96882,151.12326,Store
504058,Chullora NSW,355-357 Waterloo Road,2190,-33.89299,151.06117,Store
504074,Casey ACT,Kingsland Parade,2913,-35.1748381,149.0953435,Store
504051,Wagga Wagga NSW,"Riverina Plaza, Berry St",2650,-35.115,147.37284,Store
504056,Chisholm ACT,36 Benham Street,2905,-35.41338,149.12774,Store
504096,Macquarie Park NSW,Herring Road,2113,-33.7771,151.118,Store
